法術,英文名稱,欄位,修正前,修正後
腐囊爆發,Necrotic Eruption,description_zh,"作用距離：中
作用物件：腐囊感染體及其周圍 20 英尺內的生物
時效：瞬間
豁免檢定：堅韌部分
法術抗力：不可
你使感染體身上的腐囊吞齧其正常組織，並爆炸性增大體積。如果受害者通過堅韌檢定，
將受到 1d6 每等級（最高 15d6）傷害，一…","你使感染體身上的腐囊吞齧其正常組織，並爆炸性增大體積。如果受害者通過堅韌檢定，
將受到 1d6 每等級（最高 15d6）傷害，一半為穢惡傷害。由腐囊造成的對抗死靈系法術的
豁免罰值也有效。
如果檢定失敗，腐囊的生長將失去控制，使感染體爆體而…"
探知腐囊,Necrotic Scrying,casting_time,1 標準動作 作用距離：無限,1 標準動作
探知腐囊,Necrotic Scrying,range_text,,無限
探知腐囊,Necrotic Scrying,effect_text,腐囊感染體成為你的魔法感知點 時效：1 分鐘每等級（消解）,腐囊感染體成為你的魔法感知點
探知腐囊,Necrotic Scrying,duration,,1 分鐘每等級（消解）
腐囊終結,Necrotic Termination,range_text,,中
腐囊終結,Necrotic Termination,target_text,,腐囊感染體
腐囊終結,Necrotic Termination,duration,,瞬間
腐囊終結,Necrotic Termination,saving_throw,,堅韌部分
腐囊終結,Necrotic Termination,spell_resistance,,不可
腐囊終結,Necrotic Termination,description_zh,"作用距離：中
作用物件：腐囊感染體
時效：瞬間
豁免檢定：堅韌部分
法術抗力：不可
你使腐囊感染體體內的腐囊吞齧其肉體及靈魂，並從而在物理上和精神上壯大。如果受
害者通過堅韌檢定，將受到 1d6 每等級（最高 25d6）傷害，一半為穢惡傷害…","你使腐囊感染體體內的腐囊吞齧其肉體及靈魂，並從而在物理上和精神上壯大。如果受
害者通過堅韌檢定，將受到 1d6 每等級（最高 25d6）傷害，一半為穢惡傷害。由腐囊造成
的對抗死靈系法術的豁免罰值也有效。
如果檢定失敗，腐囊的生長將失去控制…"
腐囊腦瘤,Necrotic Tumor,range_text,,中
腐囊腦瘤,Necrotic Tumor,target_text,,腐囊感染體
腐囊腦瘤,Necrotic Tumor,duration,,每等級一天或永久
腐囊腦瘤,Necrotic Tumor,saving_throw,,堅韌部分
腐囊腦瘤,Necrotic Tumor,spell_resistance,,不可
腐囊腦瘤,Necrotic Tumor,description_zh,"作用距離：中
作用物件：腐囊感染體
時效：每等級一天或永久
豁免檢定：堅韌部分
法術抗力：不可
你使得腐囊感染體的部分腦組織被腐囊包裹住。即使感染體通過檢定（由腐囊帶來的罰
值可生效），你仍能通過向他提出建議來影響他（限一、兩句話）。你的言…","你使得腐囊感染體的部分腦組織被腐囊包裹住。即使感染體通過檢定（由腐囊帶來的罰
值可生效），你仍能通過向他提出建議來影響他（限一、兩句話）。你的言語必須聽來有道理。
任何諸如讓他刺自己、撞到長矛上、自盡等明顯對他有害的建議將自動失敗。建議的行…"
夜之撫,night caress,range_text,,接觸
夜之撫,night caress,target_text,,被接觸的生物
夜之撫,night caress,duration,,瞬間
夜之撫,night caress,saving_throw,,堅韌部分
夜之撫,night caress,spell_resistance,,可
夜之撫,night caress,description_zh,"作用距離：接觸
作用物件：被接觸的生物
時效：瞬間
豁免檢定：堅韌部分
法術抗力：可
你的手掌變得如同最深沉的夜一般漆黑，僅僅是輕微的觸摸也能給生物帶去巨大傷害。
你的接觸攻擊造成 1d6 每等級（最高 15d6）的傷害，附加 1d6+2 …","你的手掌變得如同最深沉的夜一般漆黑，僅僅是輕微的觸摸也能給生物帶去巨大傷害。
你的接觸攻擊造成 1d6 每等級（最高 15d6）的傷害，附加 1d6+2 的體質傷害。成功通過檢
定則不受體質傷害。
此法術對不死生物有特殊效果。它們不會受到傷…"
噩夢地形,Nightmare Terrain,range_text,近距（25 英尺+5 英尺/2 等級） 面積:五個 10 立方英尺 + 10 立方英尺/等級 （S),近距（25 英尺+5 英尺/2 等級）
噩夢地形,Nightmare Terrain,area_text,,五個 10 立方英尺 + 10 立方英尺/等級 （S)
軟泥傀儡,Ooze Puppet,duration,24 小時/等級豁,24 小時/等級
軟泥傀儡,Ooze Puppet,saving_throw,,堅韌通過則無效
軟泥傀儡,Ooze Puppet,spell_resistance,,可
軟泥傀儡,Ooze Puppet,description_zh,"免檢定：堅韌通過則無效法
術抗力：可
寥寥數語的吟唱，胳膊神奇的一揮，你的魔法無形的環繞著那只軟泥怪，使之聽命於你.
你通過心靈遙感控制住目標軟泥怪，操縱它、強迫它按照你的要求進行移動和攻擊。你可
以按照自己的想法強迫軟泥怪做任何在其能力範…","寥寥數語的吟唱，胳膊神奇的一揮，你的魔法無形的環繞著那只軟泥怪，使之聽命於你.
你通過心靈遙感控制住目標軟泥怪，操縱它、強迫它按照你的要求進行移動和攻擊。你可
以按照自己的想法強迫軟泥怪做任何在其能力範圍之內的事。控制軟泥怪行動一整輪對於你…"
開關術,Open/Close,duration,立即 豁免：意志，通過則無效（物品）,立即
開關術,Open/Close,saving_throw,,意志，通過則無效（物品）
秩序之怒,Order’s Wrath,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
秩序之怒,Order’s Wrath,casting_time,,1 個標準動作
梟之睿智,Owl’s Wisdom,duration,1 分鐘/施法者每等級 豁免：意志，通過則無效（無害）,1 分鐘/施法者每等級
梟之睿智,Owl’s Wisdom,saving_throw,,意志，通過則無效（無害）
黃昏幕布,Pall Of Twilight,range_text,,近距（25 英尺+5 英尺/2 等級）
黃昏幕布,Pall Of Twilight,area_text,近距（25 英尺+5 英尺/2 等級） 面積：20 尺半徑擴散,20 尺半徑擴散
幻影誘餌,Phantasmal Decoy,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
幻影誘餌,Phantasmal Decoy,casting_time,,1 個標準動作
謎幻路途,Phantasmal Disorientation,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
謎幻路途,Phantasmal Disorientation,casting_time,,1 個標準動作
魅影殺手,Phantasmal Killer,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
魅影殺手,Phantasmal Killer,casting_time,,1 個標準動作
幽靈馴鹿,Phantom Stag,components,言語，姿勢施,言語，姿勢
幽靈馴鹿,Phantom Stag,casting_time,,1 個標準動作
幽靈馴鹿,Phantom Stag,range_text,,0 尺
幽靈馴鹿,Phantom Stag,effect_text,,一匹半真實的，有著牡鹿外形的生物
幽靈馴鹿,Phantom Stag,duration,,1 小時/每等級（可解消）
幽靈馴鹿,Phantom Stag,saving_throw,,無；見下文
幽靈馴鹿,Phantom Stag,spell_resistance,,不可
幽靈馴鹿,Phantom Stag,description_zh,"法時間：1 個標準動作距
離：0 尺
效果：一匹半真實的，有著牡鹿外形的生物
持續時間：1 小時/每等級（可解消）
豁免檢定：無；見下文
法術抗力：不可
手指貼近唇邊呼出鹿的鳴叫，一頭有如煙影的大牡鹿在你眼前現身。
施法者的咒語創造出一匹具…","手指貼近唇邊呼出鹿的鳴叫，一頭有如煙影的大牡鹿在你眼前現身。
施法者的咒語創造出一匹具有質感的大型鹿形生物。只有施法者或其指定的個體可以騎
乘它。魅影牡鹿的頭顱與軀體皆為漆黑，它有著銀色的鹿角，如虛似幻的煙色蹄子。它的蹄子
不會發出任何聲音…"
植物滋長,Plant Growth,range_text,見正文 目標或區域：見正文,見正文
植物滋長,Plant Growth,target_text,,見正文
虹光暴雨,Prismatic Deluge,range_text,中距（100 英尺+10 英尺/每等級） 面積：柱形（40 英 尺 半徑 80 英尺高),中距（100 英尺+10 英尺/每等級）
虹光暴雨,Prismatic Deluge,area_text,,柱形（40 英 尺 半徑 80 英尺高)
虹光噴射,Prismatic Spray,components,言語，姿勢施,言語，姿勢
虹光噴射,Prismatic Spray,casting_time,,1 個標準動作
虹光噴射,Prismatic Spray,range_text,,60 英尺
虹光噴射,Prismatic Spray,area_text,,錐形爆發區域
虹光噴射,Prismatic Spray,duration,,立即
虹光噴射,Prismatic Spray,saving_throw,,見正文
虹光噴射,Prismatic Spray,spell_resistance,,可
虹光噴射,Prismatic Spray,description_zh,"法時間：1 個標準動作距
離：60 英尺
區域：錐形爆發區域
持續時間：立即
豁免檢定：見正文
法術抗力：可
這個法術能讓你手中噴出七道閃爍不定，互相混雜的多彩光束。每道光束具有不同的威
力。法術區域內 8 或更少 HD 的生物會自動目盲 …","這個法術能讓你手中噴出七道閃爍不定，互相混雜的多彩光束。每道光束具有不同的威
力。法術區域內 8 或更少 HD 的生物會自動目盲 2d4 輪。區域內的每個生物都會隨機的被一
道或多道光束擊中，每道光束都有不同的額外效果。
1d8 光束顏色 …"
虹光法牆,Prismatic Wall,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
虹光法牆,Prismatic Wall,casting_time,,1 個標準動作
思想探針,Probe Thoughts,spell_resistance,,可
思想探針,Probe Thoughts,description_zh,"法術抗力；可
你可以瞭解到目標所有的記憶和知識，包括那些埋藏的很深的記憶。你每輪能找到一個
問題對於這個生物來說最好的回答。你也可以探測一個睡眠中的目標，在每次問題後，目標
都可以通過一次意志鑒定（DC 相當於此法術 DC）來醒來。不願被探…","你可以瞭解到目標所有的記憶和知識，包括那些埋藏的很深的記憶。你每輪能找到一個
問題對於這個生物來說最好的回答。你也可以探測一個睡眠中的目標，在每次問題後，目標
都可以通過一次意志鑒定（DC 相當於此法術 DC）來醒來。不願被探測的生物除非受…"
防護負能量傷害,Protection From Negative Energy,components,言語，姿勢施,言語，姿勢
防護負能量傷害,Protection From Negative Energy,casting_time,,1 個標準動作
防護負能量傷害,Protection From Negative Energy,range_text,,接觸
防護負能量傷害,Protection From Negative Energy,effect_text,,施法者接觸的活物
防護負能量傷害,Protection From Negative Energy,duration,,10 分鐘/每等級
防護負能量傷害,Protection From Negative Energy,saving_throw,,意志避免（無害）
防護負能量傷害,Protection From Negative Energy,spell_resistance,,可（無害）
防護負能量傷害,Protection From Negative Energy,description_zh,"法時間：1 個標準動作距
離：接觸
效果：施法者接觸的活物持
續時間：10 分鐘/每等級
豁免檢定：意志避免（無害）
法術抗力：可（無害）
該法術能對負能量造成的傷害起到保護效果。受到法術保護的人在被負能量傷害時（例
如造成傷害術）可以減少…","該法術能對負能量造成的傷害起到保護效果。受到法術保護的人在被負能量傷害時（例
如造成傷害術）可以減少 10 點傷害。
由負能量造成的其它非傷害性效果（例如能量吸取）依然正常作用。"
防護正能量傷害,Protection From Positive Energy,components,言語，姿勢施,言語，姿勢
防護正能量傷害,Protection From Positive Energy,casting_time,,1 個標準動作
防護正能量傷害,Protection From Positive Energy,range_text,,接觸
防護正能量傷害,Protection From Positive Energy,effect_text,,施法者接觸的不死生物
防護正能量傷害,Protection From Positive Energy,duration,,10 分鐘/每等級
防護正能量傷害,Protection From Positive Energy,saving_throw,,意志避免（無害）
防護正能量傷害,Protection From Positive Energy,spell_resistance,,可（無害）
防護正能量傷害,Protection From Positive Energy,description_zh,"法時間：1 個標準動作距
離：接觸
效果：施法者接觸的不死生物
持續時間：10 分鐘/每等級豁
免檢定：意志避免（無害）
法術抗力：可（無害）
該法術能對正能量造成的傷害起到保護效果。受到法術保護的人在被正能量傷害時（例
如治療傷害術）可以…","該法術能對正能量造成的傷害起到保護效果。受到法術保護的人在被正能量傷害時（例
如治療傷害術）可以減少 10 點傷害。
由正能量造成的其它非傷害性效果（例如驅散檢定）依然正常作用。"
學徒,Protege,components,V、S 施法動作：整輪動作,V、S
學徒,Protege,casting_time,,整輪動作
淨化食糧,Purify Food And Drink,components,言語，姿勢施,言語，姿勢
淨化食糧,Purify Food And Drink,casting_time,,1 個標準動作
淨化食糧,Purify Food And Drink,range_text,,10 英尺
淨化食糧,Purify Food And Drink,target_text,,1 立方英尺/等級的被污染食物和飲水
淨化食糧,Purify Food And Drink,duration,,立即
淨化食糧,Purify Food And Drink,saving_throw,,意志通過則無效（物體）
淨化食糧,Purify Food And Drink,spell_resistance,,可（物體）
淨化食糧,Purify Food And Drink,description_zh,"法時間：1 個標準動作距
離：10 英尺
目標：1 立方英尺/等級的被污染食物和飲水
持續時間：立即
豁免檢定：意志通過則無效（物體）
法術抗力：可（物體）
這個法術能把變質、腐臭、有毒或遭受其他污染的食物和水淨化為可食用和飲用狀態。
這個…","這個法術能把變質、腐臭、有毒或遭受其他污染的食物和水淨化為可食用和飲用狀態。
這個法術不能阻止之後的自然腐敗或變質。邪水和類似意義的食物和飲料被淨化食糧處理後
會失去作用，但是這個法術對任何類型生物或魔法藥劑都無效。
注意：每加侖水重約 8…"
輝煌之光,Radiance,duration,1 輪/每等級（解消）；見敘述豁 免檢定：無,1 輪/每等級（解消）；見敘述
輝煌之光,Radiance,saving_throw,,無
黑鬱金香花雨,Rain Of Black Tulips,range_text,遠距（400呎+40呎/每等級） 影響範圍：柱狀（半徑80呎，80呎高）,遠距（400呎+40呎/每等級）
黑鬱金香花雨,Rain Of Black Tulips,area_text,,柱狀（半徑80呎，80呎高）
灰燼時雨,Rain Of Ember,range_text,中距（100呎+10呎/每等級） 影響範圍：柱狀（半徑40呎，120呎高）,中距（100呎+10呎/每等級）
灰燼時雨,Rain Of Ember,area_text,,柱狀（半徑40呎，120呎高）
玫瑰花雨,Rain Of Roses,range_text,遠距（400 呎+40 呎/每等級） 影響範圍：柱狀（半徑 80 呎，80 呎高）,遠距（400 呎+40 呎/每等級）
玫瑰花雨,Rain Of Roses,area_text,,柱狀（半徑 80 呎，80 呎高）
衰弱射線,Ray Of Enfeeblement,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
衰弱射線,Ray Of Enfeeblement,casting_time,,1 個標準動作
冰凍射線,Ray Of Frost,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
冰凍射線,Ray Of Frost,casting_time,,1 個標準動作
移除氣味,Remove Scent,duration,10 分鐘/等級豁,10 分鐘/等級
移除氣味,Remove Scent,saving_throw,,意志通過則無效
移除氣味,Remove Scent,spell_resistance,,可
移除氣味,Remove Scent,description_zh,"免檢定：意志通過則無效法
術抗力：可
該法術會遮蓋住所接觸生物或物體的氣味。靈敏嗅覺能力無法探測到受術生物。該法術
也可以用來無效化某些生物散發惡臭的特性，如妖鬼。
施法材料：1 小撮無味的蠟燭屑","該法術會遮蓋住所接觸生物或物體的氣味。靈敏嗅覺能力無法探測到受術生物。該法術
也可以用來無效化某些生物散發惡臭的特性，如妖鬼。
施法材料：1 小撮無味的蠟燭屑"
驅離金石,Repel Metal Or Stone,components,言語，姿勢施,言語，姿勢
驅離金石,Repel Metal Or Stone,casting_time,,1 個標準動作
驅離金石,Repel Metal Or Stone,range_text,,60 英尺
驅離金石,Repel Metal Or Stone,area_text,,自你而起 60 英尺線形
驅離金石,Repel Metal Or Stone,duration,,1 輪/等級（可解消）
驅離金石,Repel Metal Or Stone,saving_throw,,無
驅離金石,Repel Metal Or Stone,spell_resistance,,不可
驅離金石,Repel Metal Or Stone,description_zh,"法時間：1 個標準動作距
離：60 英尺
區域：自你而起 60 英尺線形
持續時間： 1 輪/等級（可解消）
豁免檢定：無
法術抗力：不可
和驅離木材（Repel Wood）相似，本法術製造出由你而起向前滾動的無形能量波。在
法術路徑上的所…","和驅離木材（Repel Wood）相似，本法術製造出由你而起向前滾動的無形能量波。在
法術路徑上的所有的金屬或石質物品都會被推離你直到法術距離的極限。被固定的直徑大於
3 英寸的金屬或石質物品和重量超過 500 磅的未固定物品不會受到影響。…"
樹脂焦油,Resinous Tar,range_text,,近距（25 英尺+5 英尺/2 等級） 區域或目標：一個物件或十尺的正方形區域
樹脂焦油,Resinous Tar,area_text,近距（25 英尺+5 英尺/2 等級） 區域或目標：一個物件或十尺的正方形區域,
響亮雷霆,Resounding Thunder,range_text,,中等（100 英尺+ 10 英尺/等級）
響亮雷霆,Resounding Thunder,area_text,中等（100 英尺+ 10 英尺/等級） 面積：20 英尺半徑擴散,20 英尺半徑擴散
宏偉之音,Resounding Voice,range_text,,接觸
宏偉之音,Resounding Voice,area_text,接觸,
公義的重擊,Righteous Smite,range_text,中距（100呎+10呎/每等級） 影響範圍：半徑20呎擴散範圍,中距（100呎+10呎/每等級）
公義的重擊,Righteous Smite,area_text,,半徑20呎擴散範圍
平安之所,Safe Clearing,components,,V，S
海王之鱗,Scales Of The Sealord,range_text,,個人
海王之鱗,Scales Of The Sealord,area_text,個人,
閃光圖紋,Scintillating Pattern,effect_text,20 英尺半徑擴散範圍內多彩光芒持 續時間：專注+2 輪,20 英尺半徑擴散範圍內多彩光芒
閃光圖紋,Scintillating Pattern,duration,,專注+2 輪
高等亡靈之種,"Seed Of Undeath, Greater",area_text,,40 英尺半徑彌漫
高等亡靈之種,"Seed Of Undeath, Greater",description_zh,"面積：40 英尺半徑彌漫
在法術區域的每一個生物外觀變得如同屍體一樣，然後恢復正常。
這個法術的能力，如同亡靈之種（Seed Of Undeath），但它適用於任何人形生物或動物
在該地區的死亡時法術生效。
在你施法之前的生物屍體，或死於法…","在法術區域的每一個生物外觀變得如同屍體一樣，然後恢復正常。
這個法術的能力，如同亡靈之種（Seed Of Undeath），但它適用於任何人形生物或動物
在該地區的死亡時法術生效。
在你施法之前的生物屍體，或死於法術範圍外的生物屍體，不受法…"
陰影形態,Shadow Form,components,V、S、M 施法動作：標準動作,V、S、M
陰影形態,Shadow Form,casting_time,,標準動作
陰影之手,Shadow Hand,components,V、S、M 施法動作：標準動作,V、S、M
陰影之手,Shadow Hand,casting_time,,標準動作
尖嘯爆發,Shrieking Blast,range_text,,中距（100 尺+10 尺/每等級）
尖嘯爆發,Shrieking Blast,area_text,中距（100 尺+10 尺/每等級） 40 尺爆發,40 尺爆發
壞敗邪惡,Sicken Evil,area_text,,半徑 20 英尺彌漫範圍
壞敗邪惡,Sicken Evil,duration,,一分鐘/每等級（解消）
壞敗邪惡,Sicken Evil,saving_throw,,無
壞敗邪惡,Sicken Evil,spell_resistance,,可
壞敗邪惡,Sicken Evil,description_zh,"影響範圍：半徑 20 英尺彌漫範圍持
續時間：一分鐘/每等級（解消） 豁
免檢定：無
法術抗力：可
你散出強烈的靈氣讓處於範圍內的邪惡生物處於生病的狀態。
祭獻：1d4 點力量傷害。","你散出強烈的靈氣讓處於範圍內的邪惡生物處於生病的狀態。
祭獻：1d4 點力量傷害。"
狙擊手之眼,Sniper's Eye,components,V、S、F 施法動作：標準動作,V、S、F
狙擊手之眼,Sniper's Eye,casting_time,,標準動作
狙擊之箭,Sniper's Shot,components,V、S 施法動作：迅捷動作,V、S
狙擊之箭,Sniper's Shot,casting_time,,迅捷動作
柔石術,Soften Earth And Stone,area_text,10 立方英尺見方/等級；見正文持 續時間：立即,10 立方英尺見方/等級；見正文
柔石術,Soften Earth And Stone,duration,,立即
聲波武器,Sonic Weapon,components,V 施法動作：標準動作,V
聲波武器,Sonic Weapon,casting_time,,標準動作
幽靈之觸,Spectral Touch,components,言語，姿勢施,言語，姿勢
幽靈之觸,Spectral Touch,casting_time,,1 個標準動作
幽靈之觸,Spectral Touch,range_text,,接觸
幽靈之觸,Spectral Touch,effect_text,,施法者或施法者接觸的目標（每等級多一個）
幽靈之觸,Spectral Touch,duration,,1 輪/每等級（D）；看下文
幽靈之觸,Spectral Touch,saving_throw,,強韌避免
幽靈之觸,Spectral Touch,spell_resistance,,可
幽靈之觸,Spectral Touch,description_zh,"法時間：1 個標準動作距
離：接觸
效果：施法者或施法者接觸的目標（每等級多一個）
持續時間：1 輪/每等級（D）；看下文
豁免檢定：強韌避免
法術抗力：可
你的手上充滿黑色劈啪做響的負界能量，你可以用手進行接觸攻擊，令接觸的活物生命
力衰…","你的手上充滿黑色劈啪做響的負界能量，你可以用手進行接觸攻擊，令接觸的活物生命
力衰退。每次接觸都會給目標造成一個負向等級並使你獲得 5 點暫時生命力。負向等級和暫
時生命力持續 1 個小時 。目 標通過 強韌豁 免可 避免 負向 等級， 你…"
幽靈武器,Spectral Weapon,components,V、S 施法動作：迅捷動作,V、S
幽靈武器,Spectral Weapon,casting_time,,迅捷動作
言語連接,Speechlink,components,V、S 施法動作：標準動作,V、S
言語連接,Speechlink,casting_time,,標準動作
法力增強,Spell Enhancer,target_text,你自己持,你自己
法力增強,Spell Enhancer,duration,,1 輪
法力增強,Spell Enhancer,description_zh,"續時間: 1 輪
你說出一個與魔法的基本規則緊密聯繫的古代單詞並立刻開始施展下一個法術。
這個法術會增強你施放的下一個法術，令其難以被目標抵抗。你這一輪施放的下一個法
術+2 施法者等級，豁免 DC+1","你說出一個與魔法的基本規則緊密聯繫的古代單詞並立刻開始施展下一個法術。
這個法術會增強你施放的下一個法術，令其難以被目標抵抗。你這一輪施放的下一個法
術+2 施法者等級，豁免 DC+1"
印法術,Spell Flower,components,言語，姿勢施,言語，姿勢
印法術,Spell Flower,casting_time,,一個標準動作
印法術,Spell Flower,range_text,,個人
印法術,Spell Flower,target_text,,你自己
印法術,Spell Flower,duration,,1 輪/等級
印法術,Spell Flower,description_zh,"法時間: 一個標準動作距
離: 個人
目標: 你自己
持續時間: 1 輪/等級
你可以用自己身體的每只手臂保持一個接觸法術只要你不用這個肢體施放另一個法術
或是接觸任何東西。你施放的每個接觸法術都必須放在不同的前肢上。至於該法術的持續時間，…","你可以用自己身體的每只手臂保持一個接觸法術只要你不用這個肢體施放另一個法術
或是接觸任何東西。你施放的每個接觸法術都必須放在不同的前肢上。至於該法術的持續時間，
任何你施放的接觸法術只會因為你用該前肢施放了另外一個法術或是觸碰了別的東西而解…"
次級法術免疫,"Spell Immunity,Lesser",components,言語，姿勢施,言語，姿勢
次級法術免疫,"Spell Immunity,Lesser",casting_time,,一個標準動作
次級法術免疫,"Spell Immunity,Lesser",range_text,,接觸
次級法術免疫,"Spell Immunity,Lesser",target_text,,被接觸的生物
次級法術免疫,"Spell Immunity,Lesser",duration,,10 分鐘/等級
次級法術免疫,"Spell Immunity,Lesser",saving_throw,,意志豁免（無害）
次級法術免疫,"Spell Immunity,Lesser",spell_resistance,,可（無害）
次級法術免疫,"Spell Immunity,Lesser",description_zh,"法時間: 一個標準動作距
離: 接觸
目標: 被接觸的生物持
續時間: 10 分鐘/等級
豁免檢定：意志豁免（無害）
法術抗力：可（無害）
這個法術保護一個生物免受一個 1 環或 2 環的法術影響，該生物得到針對特定法術的法術
抗力。次級法…","這個法術保護一個生物免受一個 1 環或 2 環的法術影響，該生物得到針對特定法術的法術
抗力。次級法術免疫不能保護生物免受無視法抗的法術影響，但是可以對抗類法術能力。它不能
對抗超自然能力和特異能力，例如噴吐武器和凝視攻擊。
只有一個特定法…"
法術反轉,Spell Turning,components,言語，姿勢，材料/法器施 法時間：一個標準動作,言語，姿勢，材料/法器
法術反轉,Spell Turning,casting_time,,一個標準動作
畏懼法術,Spell Vulnerability,components,言語，姿勢施 法時間: 一整輪,言語，姿勢
畏懼法術,Spell Vulnerability,casting_time,,一整輪
蜘蛛之毒,Spider Poison,target_text,被接觸的活物持 續時間: 立即;見下文,被接觸的活物
蜘蛛之毒,Spider Poison,duration,,立即;見下文
蛛化術,Spiderform,range_text,個人目 標：你自己,個人
蛛化術,Spiderform,target_text,,你自己
靈體騎隊,Spiritual Cavalry,range_text,,中距（100 尺+10 尺/每等級）
靈體騎隊,Spiritual Cavalry,area_text,中距（100 尺+10 尺/每等級）,
靈體突擊者,Spiritual Charger,range_text,,中距（100 尺+10 尺/每等級）
靈體突擊者,Spiritual Charger,area_text,中距（100 尺+10 尺/每等級）,
滿足漫延,Spread Of Contentment,effect_text,每等級半徑 10 英尺擴散範圍持 續時間：一小時/每等級（解消）,每等級半徑 10 英尺擴散範圍
滿足漫延,Spread Of Contentment,duration,,一小時/每等級（解消）
高等關照術,"Status, Greater",range_text,,中距（100 尺+10 尺/每等級）
高等關照術,"Status, Greater",area_text,中距（100 尺+10 尺/每等級）,
粘連術,Stick,casting_time,一個標準動作距 離: 接觸,一個標準動作
粘連術,Stick,range_text,,接觸
偷竊成癮,Sticky Fingers,target_text,你自己持,你自己
偷竊成癮,Sticky Fingers,duration,,1 輪
偷竊成癮,Sticky Fingers,description_zh,"續時間: 1 輪
這個法術給予你手上功夫技能檢定+10。",這個法術給予你手上功夫技能檢定+10。
冰火風暴,Storm Of Fire And Ice,range_text,"遠距（400 英尺+40 英尺/每等級) 面積：柱形 （20 英尺半徑, 40 英尺高)",遠距（400 英尺+40 英尺/每等級)
冰火風暴,Storm Of Fire And Ice,area_text,,"柱形 （20 英尺半徑, 40 英尺高)"
風暴之怒,Stormrage,range_text,個人目 標: 你自己,個人
風暴之怒,Stormrage,target_text,,你自己
戰略襲擊,Strategic Charge,components,言語，法器施,言語，法器
戰略襲擊,Strategic Charge,casting_time,,一個迅捷動作
戰略襲擊,Strategic Charge,range_text,,個人
戰略襲擊,Strategic Charge,target_text,,你自己
戰略襲擊,Strategic Charge,duration,,1 輪/等級
戰略襲擊,Strategic Charge,description_zh,"法時間: 一個迅捷動作距
離:個人
目標:你自己
持續時間: 1 輪/等級
你得到靈活移動專長（PH98），儘管你沒有滿足前置條件。",你得到靈活移動專長（PH98），儘管你沒有滿足前置條件。
交換領域,Substitute Domain,casting_time,10 分鐘距 離：個人,10 分鐘
交換領域,Substitute Domain,range_text,,個人
擾亂異界特性,Subvert Planar Essence,components,,V，S，M/DF
護命術,Surelife,components,,V，S，M
護命術,Surelife,range_text,,個人
護命術,Surelife,area_text,個人,
戰術確析,Tactical Precision,components,言語，姿勢，材料， 施法動作：標準動作,言語，姿勢，材料，
戰術確析,Tactical Precision,casting_time,,標準動作
標靶射線,Targeting Ray,components,"V, S, F 施法動作：標準動作","V, S, F"
標靶射線,Targeting Ray,casting_time,,標準動作
心靈遙控,Telekinesis,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
心靈遙控,Telekinesis,casting_time,,1 個標準動作
心電障壁,Telepathy Block,range_text,近距（25 呎+5 呎/每兩等級） 影響範圍：以單一生物、物體或地點為中心半徑 80 呎彌漫範圍,近距（25 呎+5 呎/每兩等級）
心電障壁,Telepathy Block,area_text,,以單一生物、物體或地點為中心半徑 80 呎彌漫範圍
心電竊聽,Telepathy Tap,range_text,個人 影響範圍：每等級半徑 10 呎彌漫範圍,個人
心電竊聽,Telepathy Tap,area_text,,每等級半徑 10 呎彌漫範圍
強化解除魔法,Tenacious Dispelling,range_text,,中等（100 英尺+10 呎/等級）
強化解除魔法,Tenacious Dispelling,target_text,,一個生物或物件，或 20 尺半徑爆發
強化解除魔法,Tenacious Dispelling,area_text,中等（100 英尺+10 呎/等級） 目標或區域：一個生物或物件，或 20 尺半徑爆發,
雷鳴之域,Thunder Field,range_text,中距（100 呎+10 呎/每等級） 影響範圍：半徑 20 呎擴散範圍,中距（100 呎+10 呎/每等級）
雷鳴之域,Thunder Field,area_text,,半徑 20 呎擴散範圍
巨型雷雨雲,Towering Thunderhead,range_text,"遠距（400 英尺+40 英尺/每等級） 面積：柱形（40 英尺半徑, 60 英尺高）",遠距（400 英尺+40 英尺/每等級）
巨型雷雨雲,Towering Thunderhead,area_text,,"柱形（40 英尺半徑, 60 英尺高）"
毒舌術,Toxic Tongue,range_text,,個人
毒舌術,Toxic Tongue,area_text,個人,
木遁術,Transport Via Plants,components,言語，姿勢施,言語，姿勢
木遁術,Transport Via Plants,casting_time,,1 個標準動作
木遁術,Transport Via Plants,range_text,,無限制
木遁術,Transport Via Plants,target_text,,你和被接觸到的物體或其他被接觸的自願生物
木遁術,Transport Via Plants,duration,,一輪
木遁術,Transport Via Plants,saving_throw,,無
木遁術,Transport Via Plants,spell_resistance,,不可
